gold_file;pred_file;pred_id;subjects;em;f1;recall;precision;iteration;tokens_in;tokens_out;elapsed_time;model;sparql_parsing_error;sparql_not_found;state_success;state_fail;state_init;state_unknown
total-assets-of-fabless-companies.json;total-assets-of-fabless-companies-llama-3-3-70b-instruct-state-fail-6-67d37d84.json;67d37d84;three triple patterns, keyfigure;0;0;0,0;0;6;42163;826;54256;llama-3.3-70b-instruct;False;False;0;1;0;0
capex-of-companies-offering-foundry-services.json;capex-of-companies-offering-foundry-services-llama-3-3-70b-instruct-state-success-4-67d37c3d.json;67d37c3d;three triple patterns, keyfigure;0;0,2692307692307692;0,3111111111111111;0,23728813559322035;4;15375;470;34720;llama-3.3-70b-instruct;False;False;1;0;0;0
medium-size-companies-with-sites-in-nuremberg.json;medium-size-companies-with-sites-in-nuremberg-llama-3-3-70b-instruct-state-success-5-67d37229.json;67d37229;three triple patterns, geo;1;1,0;1,0;1,0;5;16477;807;60311;llama-3.3-70b-instruct;False;False;1;0;0;0
companies-offering-design-services.json;companies-offering-design-services-llama-3-3-70b-instruct-state-success-4-67d3e09d.json;67d3e09d;one triple pattern;1;1,0;1,0;1,0;4;14575;465;28589;llama-3.3-70b-instruct;False;False;1;0;0;0
small-fabless-companies.json;small-fabless-companies-llama-3-3-70b-instruct-state-success-4-67d36f63.json;67d36f63;two triple patterns;1;1,0;1,0;1,0;4;36553;371;30827;llama-3.3-70b-instruct;False;False;1;0;0;0
large-suppliers-of-tsmc.json;large-suppliers-of-tsmc-llama-3-3-70b-instruct-state-fail-6-67d37d3a.json;67d37d3a;three triple patterns, supply;0;0;0,0;0;6;18962;1044;66812;llama-3.3-70b-instruct;False;False;0;1;0;0
companies-with-sites-in-ireland.json;companies-with-sites-in-ireland-llama-3-3-70b-instruct-state-success-4-67d3726b.json;67d3726b;two triple patterns, geo;1;1,0;1,0;1,0;4;8035;404;24448;llama-3.3-70b-instruct;False;False;1;0;0;0
medium-size-suppliers-of-large-companies.json;medium-size-suppliers-of-large-companies-llama-3-3-70b-instruct-state-success-4-67d3782c.json;67d3782c;four triple patterns, supply;1;1,0;1,0;1,0;4;15373;515;30917;llama-3.3-70b-instruct;False;False;1;0;0;0
companies-with-sites-in-nuremberg.json;companies-with-sites-in-nuremberg-llama-3-3-70b-instruct-state-success-6-67d3736c.json;67d3736c;two triple patterns, geo;1;1,0;1,0;1,0;6;40507;807;53762;llama-3.3-70b-instruct;False;False;1;0;0;0
sites-of-intel.json;sites-of-intel-llama-3-3-70b-instruct-state-success-4-67d372ce.json;67d372ce;one triple pattern;1;1,0;1,0;1,0;4;7226;476;32003;llama-3.3-70b-instruct;False;False;1;0;0;0
medium-size-companies-from-china.json;medium-size-companies-from-china-llama-3-3-70b-instruct-state-fail-10-67d36d7c.json;67d36d7c;three triple patterns, geo;0;0;0,0;0;10;261773;3361;251140;llama-3.3-70b-instruct;False;False;0;1;0;0
city-tsmc-has-its-headquarter-in.json;city-tsmc-has-its-headquarter-in-llama-3-3-70b-instruct-state-success-8-67d36e79.json;67d36e79;two triple patterns, geo;0;0;0,0;0,0;8;25532;1147;71955;llama-3.3-70b-instruct;False;False;1;0;0;0
idms.json;idms-llama-3-3-70b-instruct-state-fail-5-67d37a1f.json;67d37a1f;one triple pattern;0;0;0,0;0;5;63518;1040;72415;llama-3.3-70b-instruct;False;False;0;1;0;0
net-profit-of-companies-in-2022.json;net-profit-of-companies-in-2022-llama-3-3-70b-instruct-state-fail-4-67d37450.json;67d37450;three triple patterns, keyfigure;0;0;0,0;0;4;7287;665;39588;llama-3.3-70b-instruct;False;False;0;1;0;0
companies-with-ceos-with-publications.json;companies-with-ceos-with-publications-llama-3-3-70b-instruct-state-success-9-67d37927.json;67d37927;four triple patterns, member;1;1,0;1,0;1,0;9;183283;1365;116891;llama-3.3-70b-instruct;False;False;1;0;0;0
company-that-pat-gelsinger-is-or-was-ceo-of.json;company-that-pat-gelsinger-is-or-was-ceo-of-llama-3-3-70b-instruct-state-success-5-67d371d1.json;67d371d1;three triple patterns;1;1,0;1,0;1,0;5;37832;614;49046;llama-3.3-70b-instruct;False;False;1;0;0;0
operating-income-of-companies-in-2021-given-in-new-taiwan-dollar.json;operating-income-of-companies-in-2021-given-in-new-taiwan-dollar-llama-3-3-70b-instruct-state-fail-5-67d3747f.json;67d3747f;four triple patterns, keyfigure;0;0;0,0;0;5;11757;712;44300;llama-3.3-70b-instruct;False;False;0;1;0;0
publications-of-pat-gelsinger-in-2005.json;publications-of-pat-gelsinger-in-2005-llama-3-3-70b-instruct-state-success-4-67d36ffb.json;67d36ffb;two triple patterns;1;1,0;1,0;1,0;4;8812;535;34085;llama-3.3-70b-instruct;False;False;1;0;0;0
german-companies.json;german-companies-llama-3-3-70b-instruct-state-success-4-67d3e128.json;67d3e128;two triple patterns, geo;0;0;0,0;0,0;4;24930;381;26258;llama-3.3-70b-instruct;False;False;1;0;0;0
chip-fabs-of-very-large-foundry-companies.json;chip-fabs-of-very-large-foundry-companies-llama-3-3-70b-instruct-state-success-8-67d37c63.json;67d37c63;four triple patterns;0;0;0,0;0,0;8;81818;1010;79897;llama-3.3-70b-instruct;False;False;1;0;0;0
fabless-suppliers-of-tsmc.json;fabless-suppliers-of-tsmc-llama-3-3-70b-instruct-state-success-8-67d378aa.json;67d378aa;three triple patterns, supply;0;0,09375;1,0;0,04918032786885246;8;110528;1357;92980;llama-3.3-70b-instruct;False;False;1;0;0;0
total-revenue-of-companies-offering-foundry-services.json;total-revenue-of-companies-offering-foundry-services-llama-3-3-70b-instruct-state-success-8-67d37dbc.json;67d37dbc;three triple patterns, keyfigure;0;0;0,0;0,0;8;113237;1169;94439;llama-3.3-70b-instruct;False;False;1;0;0;0
german-companies-offering-design-services.json;german-companies-offering-design-services-llama-3-3-70b-instruct-state-success-8-67d36ec8.json;67d36ec8;three triple patterns, geo;0;0;0,0;0;8;73305;1022;83242;llama-3.3-70b-instruct;False;False;1;0;0;0
ceos-of-very-large-companies.json;ceos-of-very-large-companies-llama-3-3-70b-instruct-state-success-8-67d37579.json;67d37579;four triple patterns, member;0;0,8026315789473685;0,9838709677419355;0,6777777777777778;8;149538;1183;104346;llama-3.3-70b-instruct;False;False;1;0;0;0
operating-income-of-companies-in-2021.json;operating-income-of-companies-in-2021-llama-3-3-70b-instruct-state-fail-7-67d375f6.json;67d375f6;three triple patterns, keyfigure;0;0;0,0;0;7;48192;1120;76009;llama-3.3-70b-instruct;False;False;0;1;0;0
medium-size-customers-of-large-companies.json;medium-size-customers-of-large-companies-llama-3-3-70b-instruct-state-success-4-67d374c8.json;67d374c8;four triple patterns, supply;0;0,2142857142857143;0,19047619047619047;0,24489795918367346;4;14659;535;32691;llama-3.3-70b-instruct;False;False;1;0;0;0
assembly-test-sites-of-companies.json;assembly-test-sites-of-companies-llama-3-3-70b-instruct-state-success-7-67d370fc.json;67d370fc;two triple patterns;0;0,4685138539042821;1,0;0,3059210526315789;7;56527;1284;87784;llama-3.3-70b-instruct;False;False;1;0;0;0
intel-s-capex.json;intel-s-capex-llama-3-3-70b-instruct-state-success-4-67d37523.json;67d37523;two triple patterns, keyfigure;0;0;0,0;0;4;36103;1349;83128;llama-3.3-70b-instruct;False;False;1;0;0;0
fabless-companies.json;fabless-companies-llama-3-3-70b-instruct-state-success-4-67d3e046.json;67d3e046;one triple pattern;1;1,0;1,0;1,0;4;22518;406;25999;llama-3.3-70b-instruct;False;False;1;0;0;0
small-companies.json;small-companies-llama-3-3-70b-instruct-state-success-4-67d36cbe.json;67d36cbe;one triple pattern;1;1,0;1,0;1,0;4;22568;540;34464;llama-3.3-70b-instruct;False;False;1;0;0;0
capex-of-companies-in-2022-given-in-us-dollar.json;capex-of-companies-in-2022-given-in-us-dollar-llama-3-3-70b-instruct-state-fail-8-67d373ef.json;67d373ef;four triple patterns, keyfigure;0;0;0,0;0;8;66314;1390;93035;llama-3.3-70b-instruct;False;False;0;1;0;0
number-of-employees-of-very-large-companies.json;number-of-employees-of-very-large-companies-llama-3-3-70b-instruct-state-fail-5-67d379f4.json;67d379f4;three triple patterns, keyfigure;0;0;0,0;0;5;16529;708;41291;llama-3.3-70b-instruct;False;False;0;1;0;0
chip-fabs-of-very-large-companies.json;chip-fabs-of-very-large-companies-llama-3-3-70b-instruct-state-success-4-67d36d4e.json;67d36d4e;three triple patterns;0;0,19999999999999998;0,1111111111111111;1,0;4;69582;454;42652;llama-3.3-70b-instruct;False;False;1;0;0;0
services-of-samsung.json;services-of-samsung-llama-3-3-70b-instruct-state-success-5-67d36f1f.json;67d36f1f;one triple pattern;1;1,0;1,0;1,0;5;8634;499;30293;llama-3.3-70b-instruct;False;False;1;0;0;0
services-offered-by-german-companies.json;services-offered-by-german-companies-llama-3-3-70b-instruct-state-fail-6-67d370b9.json;67d370b9;three triple patterns, geo;0;0;0,0;0;6;49017;954;64331;llama-3.3-70b-instruct;False;False;0;1;0;0
ceos-with-publications.json;ceos-with-publications-llama-3-3-70b-instruct-state-fail-7-67d379a3.json;67d379a3;three triple patterns, member;0;0;0,0;0;7;119723;918;77953;llama-3.3-70b-instruct;False;False;0;1;0;0
suppliers-of-tsmc-that-offer-design-services.json;suppliers-of-tsmc-that-offer-design-services-llama-3-3-70b-instruct-state-success-9-67d37cb6.json;67d37cb6;three triple patterns, supply;0;0;0,0;0;9;111875;1536;129327;llama-3.3-70b-instruct;False;False;1;0;0;0
taiwanese-companies-that-supply-intel.json;taiwanese-companies-that-supply-intel-llama-3-3-70b-instruct-state-success-6-67d37286.json;67d37286;four triple patterns, supply, geo;0;0;0,0;0,0;6;93890;937;70610;llama-3.3-70b-instruct;False;False;1;0;0;0
company-type-of-asml.json;company-type-of-asml-llama-3-3-70b-instruct-state-success-5-67d36d28.json;67d36d28;one triple pattern;1;1,0;1,0;1,0;5;21180;510;37260;llama-3.3-70b-instruct;False;False;1;0;0;0
size-of-siltronic.json;size-of-siltronic-llama-3-3-70b-instruct-state-fail-5-67d37645.json;67d37645;one triple pattern;0;0;0,0;0;5;17578;815;48108;llama-3.3-70b-instruct;False;False;0;1;0;0
assembly-test-sites-of-intel.json;assembly-test-sites-of-intel-llama-3-3-70b-instruct-state-success-6-67d376fc.json;67d376fc;two triple patterns;0;0;0,0;0;6;70126;812;72774;llama-3.3-70b-instruct;False;False;1;0;0;0
types-of-sites.json;types-of-sites-llama-3-3-70b-instruct-state-success-4-67d37203.json;67d37203;one triple pattern;0;0,00980392156862745;1,0;0,0049261083743842365;4;7854;547;33560;llama-3.3-70b-instruct;False;False;1;0;0;0
potential-services-of-companies.json;potential-services-of-companies-llama-3-3-70b-instruct-state-success-4-67d36f40.json;67d36f40;one triple pattern;1;1,0;1,0;1,0;4;6122;486;33532;llama-3.3-70b-instruct;False;False;1;0;0;0
idms-with-sites-in-nuremberg.json;idms-with-sites-in-nuremberg-llama-3-3-70b-instruct-state-fail-9-67d36f84.json;67d36f84;three triple patterns, geo;0;0;0,0;0;9;173055;1375;114597;llama-3.3-70b-instruct;False;False;0;1;0;0
fabless-customers-of-tsmc.json;fabless-customers-of-tsmc-llama-3-3-70b-instruct-state-fail-5-67d381d6.json;67d381d6;three triple patterns, supply;0;0;0,0;0;5;34934;869;60479;llama-3.3-70b-instruct;False;False;0;1;0;0
ceo-publications-in-2005.json;ceo-publications-in-2005-llama-3-3-70b-instruct-state-fail-4-67d37878.json;67d37878;four triple patterns, member;0;0;0,0;0;4;49810;568;45909;llama-3.3-70b-instruct;False;False;0;1;0;0
customers-of-asml.json;customers-of-asml-llama-3-3-70b-instruct-state-fail-5-67d3e101.json;67d3e101;two triple patterns, supply;0;0;0,0;0;5;17294;585;37308;llama-3.3-70b-instruct;False;False;0;1;0;0
cities-that-intel-has-sites-in.json;cities-that-intel-has-sites-in-llama-3-3-70b-instruct-state-success-6-67d37aec.json;67d37aec;two triple patterns, geo;1;1,0;1,0;1,0;6;79717;1033;69933;llama-3.3-70b-instruct;False;False;1;0;0;0
assembly-test-sites.json;assembly-test-sites-llama-3-3-70b-instruct-state-success-4-67d373cb.json;67d373cb;one triple pattern;0;0,9617486338797814;0,946236559139785;0,9777777777777777;4;7427;558;33582;llama-3.3-70b-instruct;False;False;1;0;0;0
suppliers-of-siltronic.json;suppliers-of-siltronic-llama-3-3-70b-instruct-state-success-4-67d37bd6.json;67d37bd6;two triple patterns, supply;0;0;0,0;0,0;4;8741;1111;101749;llama-3.3-70b-instruct;False;False;1;0;0;0
companies-from-nuremberg.json;companies-from-nuremberg-llama-3-3-70b-instruct-state-success-4-67d37748.json;67d37748;two triple patterns, geo;0;0;0,0;0,0;4;5574;438;24936;llama-3.3-70b-instruct;False;False;1;0;0;0
publications-of-pat-gelsinger.json;publications-of-pat-gelsinger-llama-3-3-70b-instruct-state-success-5-67d374eb.json;67d374eb;one triple pattern;0;0;0,0;0,0;5;17227;882;53728;llama-3.3-70b-instruct;False;False;1;0;0;0
bavarian-organisations.json;bavarian-organisations-llama-3-3-70b-instruct-state-fail-6-67d3e065.json;67d3e065;three triple patterns, geo;0;0;0,0;0;6;16762;882;52507;llama-3.3-70b-instruct;False;False;0;1;0;0
total-equity-of-foundry-companies.json;total-equity-of-foundry-companies-llama-3-3-70b-instruct-state-success-4-67d373a4.json;67d373a4;three triple patterns, keyfigure;0;0;0,0;0,0;4;14836;549;36917;llama-3.3-70b-instruct;False;False;1;0;0;0
large-equipment-suppliers-of-tsmc.json;large-equipment-suppliers-of-tsmc-llama-3-3-70b-instruct-state-success-6-67d3784d.json;67d3784d;four triple patterns, supply;0;0;0,0;0;6;11366;611;39704;llama-3.3-70b-instruct;False;False;1;0;0;0
intel-s-net-profit.json;intel-s-net-profit-llama-3-3-70b-instruct-state-success-7-67d36ce4.json;67d36ce4;two triple patterns, keyfigure;0;0;0,0;0,0;7;84115;933;66270;llama-3.3-70b-instruct;False;False;1;0;0;0
countries-where-intel-has-sites.json;countries-where-intel-has-sites-llama-3-3-70b-instruct-state-success-6-67d3767a.json;67d3767a;three triple patterns, geo;0;0,8235294117647058;0,7;1,0;6;78651;1225;128572;llama-3.3-70b-instruct;False;False;1;0;0;0
ceos-of-idms.json;ceos-of-idms-llama-3-3-70b-instruct-state-success-7-67d37064.json;67d37064;four triple patterns, member;0;0,6;0,975;0,43333333333333335;7;124202;966;82763;llama-3.3-70b-instruct;False;False;1;0;0;0
total-equity-of-companies-given-in-new-taiwan-dollar.json;total-equity-of-companies-given-in-new-taiwan-dollar-llama-3-3-70b-instruct-state-fail-7-67d37e1e.json;67d37e1e;three triple patterns, keyfigure;0;0;0,0;0;7;115552;1235;97329;llama-3.3-70b-instruct;False;False;0;1;0;0
